case_id	lane	source_path	target_file	target_profile	kernel_feature	verdict	axiom_footprint	negative_case	test_command	status	notes
NOTATION-001	Notation	/home/aimama/aihub/GPT-Pro_Responses/MeTTaKernel/notation_kernel.metta	Notation/01_invertible_mixfix.metta	OSLF	LanguageDef table-as-data printer: de Bruijn AST prints with fresh capture-free names	accept	none	none	bash run_all.sh	checked	Internal seed from Web-Claude/Codex brainstorming; external mixfix/BNFC/GF source-backed rows should extend this.
NOTATION-002	Notation	/home/aimama/aihub/GPT-Pro_Responses/MeTTaKernel/notation_kernel.metta	Notation/01_invertible_mixfix.metta	OSLF	round-trip faithfulness: prsT(prT(t)) = t for Lam/Sep/nested binders	accept	none	none	bash run_all.sh	checked	CeTTa gate checks parse-after-print on three representative ASTs.
NOTATION-003	Notation	/home/aimama/aihub/GPT-Pro_Responses/MeTTaKernel/notation_kernel.metta	Notation/01_invertible_mixfix.metta	OSLF	alpha quotient: different bound names parse to identical de Bruijn AST	accept	none	none	bash run_all.sh	checked	Binding adequacy seed: lambda p and lambda q forms parse to the same AST.
NOTATION-004	Notation	/home/aimama/aihub/GPT-Pro_Responses/MeTTaKernel/notation_kernel.metta	Notation/01_invertible_mixfix.metta	OSLF	free-vs-bound name resolution	accept	none	none	bash run_all.sh	checked	Outside a binder, x parses as Atom x rather than Var.
NOTATION-005	Notation	/home/aimama/aihub/GPT-Pro_Responses/MeTTaKernel/notation_kernel.metta	Notation/01_invertible_mixfix.metta	OSLF	notation admission: concrete syntax forms must be injective	accept	none	non-injective table with Mem/Sub sharing one concrete syntax form must reject	bash run_all.sh	checked	First negative for notation admission; this is not yet ambiguity/precedence completeness.
EQ-idj-core	Lean	/home/aimama/aihub/repos/itp-curriculum-sources/lean4_core/src/Init/Prelude.lean	/home/aimama/aihub/Mettapedia/MettaKernel/kernel/kernel_signature_lf_indexed_v0.metta	DTT	intensional Id/J + transport + cong	accept	none	no	cetta kernel_signature_lf_indexed_v0.metta	checked	our core: Id a DIndG, J its generated eliminator, plus-O-r via J, axiom-free (v6)
EQ-funext	Lean	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Lean/15_impredicative_axioms.lean; /home/aimama/aihub/repos/itp-curriculum-sources/lean4_core/src/Init/Classical.lean	Lean/15_impredicative_axioms.lean	DTT	function extensionality	requires-explicit-axiom	funext<=Quot.sound	no	bash run_all.sh	checked	reference: Lean derives funext from Quot.sound (#print axioms). Intensional core does NOT prove it
EQ-propext	Lean	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Lean/15_impredicative_axioms.lean	Lean/15_impredicative_axioms.lean	DTT	propositional extensionality	requires-explicit-axiom	propext	no	bash run_all.sh	checked	axiom/trusted in Lean; not in intensional core
EQ-choice	Lean	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Lean/15_impredicative_axioms.lean; /home/aimama/aihub/repos/itp-curriculum-sources/lean4_core/src/Init/Classical.lean	Lean/15_impredicative_axioms.lean	DTT	classical choice / EM	requires-explicit-axiom	Classical.choice+propext+Quot.sound	no	bash run_all.sh	checked	em' depends on choice; classical profile only, never core
EQ-quot-sound	Lean	/home/aimama/aihub/Mettapedia/MettaKernel/Curriculum/Lean/13_quotients.lean	Lean/13_quotients.lean	DTT	quotient soundness (Quot.sound)	requires-explicit-axiom	Quot.sound	no	bash run_all.sh	checked	quotient foundation = trusted axiom in Lean; our core has no quotients
